3.54473	;0.701603	;22	;7.77855	;8.13531	;3.86002	;5.38217	;
3.54473	;0.701603	;22	;7.77855	;8.13531	;3.86002	;5.38217	;
3.54473	;0.701603	;22	;7.77855	;8.13531	;3.86002	;5.38217	;
3.54473	;0.701603	;22	;7.77855	;8.13531	;3.86002	;5.38217	;
3.54473	;0.701603	;22	;7.77855	;8.13531	;3.86002	;5.38217	;
3.56604	;0.711231	;17	;7.741	;7.94285	;3.79971	;5.33265	;
3.56604	;0.711231	;17	;7.741	;7.94285	;3.79971	;5.33265	;
3.56604	;0.711231	;17	;7.741	;7.94285	;3.79971	;5.33265	;
3.56604	;0.711231	;17	;7.741	;7.94285	;3.79971	;5.33265	;
3.56604	;0.711231	;17	;7.741	;7.94285	;3.79971	;5.33265	;
3.56604	;0.711231	;17	;7.741	;7.94285	;3.79971	;5.33265	;
3.56604	;0.711231	;17	;7.741	;7.94285	;3.79971	;5.33265	;
3.56604	;0.711231	;17	;7.741	;7.94285	;3.79971	;5.33265	;
3.56604	;0.711231	;17	;7.741	;7.94285	;3.79971	;5.33265	;
3.56604	;0.711231	;17	;7.741	;7.94285	;3.79971	;5.33265	;
3.56604	;0.711231	;17	;7.741	;7.94285	;3.79971	;5.33265	;
3.56604	;0.711231	;17	;7.741	;7.94285	;3.79971	;5.33265	;
3.56604	;0.711231	;17	;7.741	;7.94285	;3.79971	;5.33265	;
3.56604	;0.711231	;17	;7.741	;7.94285	;3.79971	;5.33265	;
3.56604	;0.711231	;17	;7.741	;7.94285	;3.79971	;5.33265	;
3.56604	;0.711231	;17	;7.741	;7.94285	;3.79971	;5.33265	;
3.56604	;0.711231	;17	;7.741	;7.94285	;3.79971	;5.33265	;
3.56604	;0.711231	;17	;7.741	;7.94285	;3.79971	;5.33265	;
3.56604	;0.711231	;17	;7.741	;7.94285	;3.79971	;5.33265	;
3.56604	;0.711231	;17	;7.741	;7.94285	;3.79971	;5.33265	;
3.58161	;0.711236	;17	;7.81779	;7.94051	;3.62571	;5.37379	;
3.58161	;0.711236	;17	;7.81779	;7.94051	;3.62571	;5.37379	;
3.58161	;0.711236	;17	;7.81779	;7.94051	;3.62571	;5.37379	;
3.58161	;0.711236	;17	;7.81779	;7.94051	;3.62571	;5.37379	;
3.58161	;0.711236	;17	;7.81779	;7.94051	;3.62571	;5.37379	;
3.57229	;0.712	;17	;7.94834	;7.94092	;3.61809	;5.36372	;
3.56906	;0.712006	;17	;7.93467	;7.88809	;3.6193	;5.36065	;
3.56906	;0.712006	;17	;7.93467	;7.88809	;3.6193	;5.36065	;
3.56906	;0.712006	;17	;7.93467	;7.88809	;3.6193	;5.36065	;
3.56906	;0.712006	;17	;7.93467	;7.88809	;3.6193	;5.36065	;
3.56906	;0.712006	;17	;7.93467	;7.88809	;3.6193	;5.36065	;
3.56906	;0.712006	;17	;7.93467	;7.88809	;3.6193	;5.36065	;
3.56906	;0.712006	;17	;7.93467	;7.88809	;3.6193	;5.36065	;
3.56906	;0.712006	;17	;7.93467	;7.88809	;3.6193	;5.36065	;
3.56906	;0.712006	;17	;7.93467	;7.88809	;3.6193	;5.36065	;
3.56906	;0.712006	;17	;7.93467	;7.88809	;3.6193	;5.36065	;
3.57219	;0.712548	;17	;7.93682	;7.8869	;3.54999	;5.35514	;
3.57219	;0.712548	;17	;7.93682	;7.8869	;3.54999	;5.35514	;
3.59483	;0.710351	;17	;7.91964	;8.02191	;3.55443	;5.31701	;
3.59483	;0.710351	;17	;7.91964	;8.02191	;3.55443	;5.31701	;
3.59483	;0.710351	;17	;7.91964	;8.02191	;3.55443	;5.31701	;
3.5845	;0.713511	;17	;7.88468	;8.06451	;3.43769	;5.32186	;
3.5845	;0.713511	;17	;7.88468	;8.06451	;3.43769	;5.32186	;
3.5845	;0.713511	;17	;7.88468	;8.06451	;3.43769	;5.32186	;
3.57193	;0.713509	;17	;7.88882	;8.06448	;3.42481	;5.32185	;
3.57587	;0.710391	;17	;7.89102	;8.08467	;3.46215	;5.3219	;
3.5939	;0.709712	;17	;7.81953	;8.07336	;3.45066	;5.31319	;
3.5939	;0.709712	;17	;7.81953	;8.07336	;3.45066	;5.31319	;
3.5939	;0.709712	;17	;7.81953	;8.07336	;3.45066	;5.31319	;
3.5939	;0.709712	;17	;7.81953	;8.07336	;3.45066	;5.31319	;
3.58092	;0.709133	;17	;7.8837	;8.05603	;3.40078	;5.29119	;
3.58092	;0.709133	;17	;7.8837	;8.05603	;3.40078	;5.29119	;
3.58092	;0.709133	;17	;7.8837	;8.05603	;3.40078	;5.29119	;
3.57578	;0.701251	;17	;8.06637	;8.05446	;3.40346	;5.32296	;
3.57152	;0.701885	;17	;7.94998	;8.05134	;3.3801	;5.31	;
3.57152	;0.701885	;17	;7.94998	;8.05134	;3.3801	;5.31	;
3.52444	;0.701997	;17	;7.98473	;8.05174	;3.35642	;5.29849	;
3.52444	;0.701997	;17	;7.98473	;8.05174	;3.35642	;5.29849	;
3.52444	;0.701997	;17	;7.98473	;8.05174	;3.35642	;5.29849	;
3.52444	;0.701997	;17	;7.98473	;8.05174	;3.35642	;5.29849	;
3.52444	;0.701997	;17	;7.98473	;8.05174	;3.35642	;5.29849	;
3.5245	;0.701431	;17	;7.98459	;8.05251	;3.3544	;5.29802	;
3.5245	;0.701431	;17	;7.98459	;8.05251	;3.3544	;5.29802	;
3.5245	;0.701431	;17	;7.98459	;8.05251	;3.3544	;5.29802	;
3.52451	;0.701401	;17	;7.98549	;8.05195	;3.35287	;5.29271	;
3.52451	;0.701401	;17	;7.98549	;8.05195	;3.35287	;5.29271	;
3.52451	;0.701401	;17	;7.98549	;8.05195	;3.35287	;5.29271	;
3.52277	;0.701225	;17	;7.98777	;8.05206	;3.3527	;5.29251	;
3.5222	;0.701123	;17	;7.95609	;8.05207	;3.35281	;5.28872	;
3.52176	;0.701106	;17	;7.84508	;8.05104	;3.35349	;5.29019	;
3.52176	;0.701106	;17	;7.84508	;8.05104	;3.35349	;5.29019	;
3.52176	;0.701106	;17	;7.84508	;8.05104	;3.35349	;5.29019	;
3.52176	;0.701106	;17	;7.84508	;8.05104	;3.35349	;5.29019	;
3.52176	;0.701106	;17	;7.84508	;8.05104	;3.35349	;5.29019	;
3.51094	;0.700296	;17	;7.84676	;8.05333	;3.35411	;5.29102	;
3.51094	;0.700296	;17	;7.84676	;8.05333	;3.35411	;5.29102	;
