1	;3.12622	;0.77379	;17.1848	;7.3158	;7.87839	;3.74172	;5.11853	;4.60108e+25
2	;3.12622	;0.77379	;17.1848	;7.3158	;7.87839	;3.74172	;5.11853	;4.60108e+25
3	;2.64656	;0.799487	;17.1911	;7.43866	;8.26258	;3.14498	;5.11758	;4.50871e+25
4	;2.64656	;0.799487	;17.1911	;7.43866	;8.26258	;3.14498	;5.11758	;4.50871e+25
5	;3.14111	;0.770548	;17.6659	;7.99329	;7.93768	;3.0698	;5.01434	;4.20768e+25
6	;3.14111	;0.770548	;17.6659	;7.99329	;7.93768	;3.0698	;5.01434	;4.20768e+25
7	;3.14111	;0.770548	;17.6659	;7.99329	;7.93768	;3.0698	;5.01434	;4.20768e+25
8	;3.14111	;0.770548	;17.6659	;7.99329	;7.93768	;3.0698	;5.01434	;4.20768e+25
9	;3.14111	;0.770548	;17.6659	;7.99329	;7.93768	;3.0698	;5.01434	;4.20768e+25
10	;3.14111	;0.770548	;17.6659	;7.99329	;7.93768	;3.0698	;5.01434	;4.20768e+25
11	;3.14111	;0.770548	;17.6659	;7.99329	;7.93768	;3.0698	;5.01434	;4.20768e+25
12	;3.14111	;0.770548	;17.6659	;7.99329	;7.93768	;3.0698	;5.01434	;4.20768e+25
13	;3.14111	;0.770548	;17.6659	;7.99329	;7.93768	;3.0698	;5.01434	;4.20768e+25
14	;3.14111	;0.770548	;17.6659	;7.99329	;7.93768	;3.0698	;5.01434	;4.20768e+25
15	;3.12846	;0.780511	;17.4019	;7.93272	;7.83126	;3.01984	;5.02691	;3.92309e+25
16	;3.12846	;0.780511	;17.4019	;7.93272	;7.83126	;3.01984	;5.02691	;3.92309e+25
17	;3.12846	;0.780511	;17.4019	;7.93272	;7.83126	;3.01984	;5.02691	;3.92309e+25
18	;3.12846	;0.780511	;17.4019	;7.93272	;7.83126	;3.01984	;5.02691	;3.92309e+25
19	;3.12846	;0.780511	;17.4019	;7.93272	;7.83126	;3.01984	;5.02691	;3.92309e+25
20	;3.12846	;0.780511	;17.4019	;7.93272	;7.83126	;3.01984	;5.02691	;3.92309e+25
21	;3.12846	;0.780511	;17.4019	;7.93272	;7.83126	;3.01984	;5.02691	;3.92309e+25
22	;3.12846	;0.780511	;17.4019	;7.93272	;7.83126	;3.01984	;5.02691	;3.92309e+25
23	;3.12846	;0.780511	;17.4019	;7.93272	;7.83126	;3.01984	;5.02691	;3.92309e+25
24	;3.12846	;0.780511	;17.4019	;7.93272	;7.83126	;3.01984	;5.02691	;3.92309e+25
25	;3.12846	;0.780511	;17.4019	;7.93272	;7.83126	;3.01984	;5.02691	;3.92309e+25
26	;3.12846	;0.780511	;17.4019	;7.93272	;7.83126	;3.01984	;5.02691	;3.92309e+25
27	;3.12846	;0.780511	;17.4019	;7.93272	;7.83126	;3.01984	;5.02691	;3.92309e+25
28	;3.12846	;0.780511	;17.4019	;7.93272	;7.83126	;3.01984	;5.02691	;3.92309e+25
29	;3.12846	;0.780511	;17.4019	;7.93272	;7.83126	;3.01984	;5.02691	;3.92309e+25
30	;3.12846	;0.780511	;17.4019	;7.93272	;7.83126	;3.01984	;5.02691	;3.92309e+25
31	;3.12846	;0.780511	;17.4019	;7.93272	;7.83126	;3.01984	;5.02691	;3.92309e+25
32	;3.12846	;0.780511	;17.4019	;7.93272	;7.83126	;3.01984	;5.02691	;3.92309e+25
33	;3.12846	;0.780511	;17.4019	;7.93272	;7.83126	;3.01984	;5.02691	;3.92309e+25
34	;3.12846	;0.780511	;17.4019	;7.93272	;7.83126	;3.01984	;5.02691	;3.92309e+25
35	;3.02125	;0.779909	;17.2772	;7.93865	;7.83126	;2.96548	;5.02752	;3.86526e+25
